age,Gender,Lying,HH,Oaesa1,Corga2,Aforg1,Xsses1,Efear1,Hsinc1,Oinqu1,Cdili1,Agent4,Xsocb2,Eanxi1,Hfair1,Ocrea2,Cperf1,Aflex1,Xsoci2,Edepe3,Hgree2,Ounco2,Cprud2,Apati2,Xlive2,Esent1,Hmode2,Oaesa3,Corga3,Aforg3,Xsses3,Efear4,Hsinc4,Oinqu3,Cdili2,Agent5,Xsocb3,Eanxi4,Hfair4,Ocrea6,Cperf2,Aflex5,Xsoci3,Edepe6,Hgree4,Ounco5,Cprud3,Apati3,Xlive3,Esent2,Hmode3,Oaesa4,Corga6,Aforg7,Xsses5,Efear7,Hsinc5,Oinqu6,Cdili5,Agent6,Xsocb4,Eanxi6,Hfair6,Ocrea7,Cperf3,Aflex7,Xsoci5,Edepe7,Hgree5,Ounco6,Cprud4,Apati4,Xlive4,Esent3,Hmode6,Oaesa7,Corga8,Aforg8,Xsses8,Efear8,Hsinc6,Oinqu8,Cdili6,Agent7,Xsocb8,Eanxi8,Hfair8,Ocrea8,Cperf4,Aflex8,Xsoci6,Edepe8,Hgree7,Ounco8,Cprud8,Apati6,Xlive7,Esent7,Hmode8,Alt3,Alt4,Alt7,Alt8,PreFocus,PreLogic,PreOrg,PreSupport,PreMechanics,PostFocus,PostLogic,PostOrg,PostSupport,PostMechanics,emoti16,extra16,agree16,consc16,openn16,PreRate,PostRate,KIND1,TRUTH1,KIND2,TRUTH2,KIND,TRUTH
19,1,.2,3.6875,4,5,4,4,5,5,4,3,3,1,4,4,3,4,4,1,3,3,5,4,3,2,5,3,5,5,4,4,4,3,3,5,4,2,3,5,3,4,4,3,1,2,3,4,2,4,4,4,4,3,2,3,5,4,3,4,2,1,2,4,1,3,2,3,2,3,2,4,3,2,5,3,5,4,4,5,3,4,2,4,2,1,4,5,2,4,2,3,2,3,5,4,3,2,5,4,4,4,5,3,4,2,1,3,1,4,3,2,2,1,3.5625,2.5625,3,4,3.375,2.2,2.4,4,3,3,5,3.5,4
22,3,-.4,2.4375,4,2,2,3,3,1,5,4,3,5,4,1,3,5,1,4,5,1,5,2,2,2,2,5,4,3,1,4,4,1,2,4,2,4,5,4,4,4,1,5,4,3,4,2,1,2,4,2,4,1,1,4,2,2,2,4,2,5,2,2,5,3,1,4,4,3,4,2,1,2,4,4,3,2,1,1,3,1,1,4,2,3,5,1,5,2,1,4,4,4,5,2,1,3,3,4,4,3,2,3,3,1,2,3,2,1,1,3,2,2,3.625,3.4375,1.4375,2.875,3.75,2.2,1.8,3,5,2,5,2.5,5
20,1,-.4,2.625,4,4,3,2,4,2,3,5,3,4,5,1,1,4,3,4,5,1,4,1,3,4,4,5,5,5,4,4,1,2,3,2,5,4,4,2,2,4,5,5,2,2,5,2,2,2,4,3,3,2,1,1,2,2,3,2,3,5,5,2,5,5,1,2,5,4,3,2,3,2,5,5,5,1,2,1,4,4,3,2,4,4,5,2,4,2,1,4,4,1,5,3,4,4,5,4,4,4,4,3,2,2,1,3,1,2,1,1,2,1,4,3.25,2.9375,2.875,3.625,1.8,1.4,2,4,1,5,1.5,4.5
19,1,0,1.8125,4,5,4,3,2,2,4,5,2,4,5,1,4,5,2,4,2,1,4,4,2,4,3,2,2,4,2,4,2,2,4,4,4,4,4,2,2,4,4,5,1,1,4,4,2,2,2,2,3,5,2,4,2,2,2,4,2,4,4,2,4,5,3,4,4,1,2,3,2,3,2,4,2,4,2,3,4,2,2,4,4,2,5,1,2,5,2,5,2,2,3,4,2,5,3,2,3,2,4,2,2,2,1,3,2,2,2,1,3,2,2.9375,3.75,2.5625,4.3125,3,2,2,2,4,2,5,2,4.5
19,1,-.8,2.375,2,5,2,4,4,1,2,5,1,4,5,2,4,5,1,4,5,1,4,3,2,5,5,4,4,5,2,4,5,1,4,5,2,2,5,4,5,5,2,5,4,2,2,4,1,4,5,4,5,5,2,2,4,2,5,4,2,4,5,1,4,4,2,4,4,5,4,2,2,4,5,4,4,4,1,2,5,2,5,5,4,1,4,1,4,5,2,5,4,1,2,3,2,4,5,3,4,4,5,3,2,2,1,3,1,1,1,1,1,1,4.625,3.625,1.875,4.3125,3.75,1.8,1,2,4,1,5,1.5,4.5
20,1,.2,4.3125,4,5,2,4,5,5,2,2,4,3,5,4,3,5,2,4,3,2,4,5,2,2,4,4,4,5,4,4,4,5,3,4,3,4,5,4,4,4,4,3,2,3,4,4,1,3,4,4,2,5,2,4,3,5,2,4,5,2,5,4,4,4,2,3,2,4,3,3,2,2,5,5,4,5,4,2,4,5,2,4,4,1,5,5,4,5,2,2,3,5,5,4,2,3,4,5,5,5,5,5,2,1,1,1,1,2,1,2,1,1,3.9375,2.875,2.8125,4.25,3.375,1.2,1.4,4,4,5,3,4.5,3.5
 ,1,.4,4,4,3,4,2,5,4,5,5,4,4,5,4,1,5,1,4,4,5,1,4,3,3,4,4,4,5,5,5,5,4,4,5,3,4,4,4,4,4,5,3,5,3,3,4,1,4,2,4,4,2,2,4,4,2,2,5,4,3,4,4,4,4,3,4,4,4,3,4,4,4,5,5,4,3,4,2,4,4,3,4,3,1,5,5,4,1,5,5,4,4,4,2,2,3,5,4,5,5,4,4,4,4,2,4,1,4,3,3,5,2,4.3125,3.4375,3.3125,3.75,3.375,3,3.4,5,2,4,3,4.5,2.5
21,1,1.2,3.9375,4,2,1,3,4,4,4,2,5,2,5,4,3,5,2,4,2,3,4,4,5,3,4,3,1,4,3,4,5,4,2,4,4,2,5,5,2,4,2,4,2,3,3,4,3,2,3,5,3,4,1,3,4,4,2,4,4,2,5,3,4,4,3,4,2,4,2,4,5,4,4,4,2,2,3,2,4,4,2,4,4,2,5,5,2,2,2,4,2,4,4,3,4,2,3,4,4,2,4,4,2,2,2,1,2,3,3,3,3,3,3.6875,2.9375,3.1875,3.5,2.75,1.8,3,4,3,3,4,3.5,3.5
19,1,0,3.6875,4,1,2,3,5,4,2,2,2,3,5,2,2,5,2,1,2,4,5,5,2,2,4,4,4,4,2,4,4,2,1,3,2,2,5,2,4,3,2,2,2,4,4,4,2,1,4,4,5,2,1,2,5,3,2,4,2,4,5,3,3,4,2,2,4,5,3,4,2,2,4,4,4,4,2,1,5,4,1,2,2,1,5,4,2,4,2,2,4,5,4,4,2,2,4,5,4,3,4,3,3,2,1,4,3,2,1,2,4,4,4.1875,2.125,1.9375,3.4375,3.125,2.6,2.6,4,4,3,5,3.5,4.5
18,1,0,2.9375,3,5,2,4,4,3,4,4,4,4,5,2,2,3,2,4,4,2,3,4,3,2,3,4,4,4,2,4,4,4,4,4,2,3,4,4,4,4,4,5,3,2,3,3,2,4,4,2,2,5,2,4,3,4,4,3,4,3,2,2,4,3,4,4,4,2,3,3,2,3,3,4,4,4,3,2,2,4,3,4,3,3,4,4,4,4,2,3,4,2,4,4,2,4,4,2,4,4,3,4,2,2,1,3,2,3,2,2,2,1,3.5625,3.5,2.6875,3.8125,3.4375,2,2,3,4,3,5,3,4.5
